time,brightness,sun_x,sun_y,sun_z,observer_x,observer_y,observer_z
49.000,0.131862,0.069468,0.975567,-0.208428,-0.432979,-0.807790,-0.400006
50.000,0.427367,-0.348936,0.790254,0.503729,0.894778,0.438648,-0.083429
51.000,0.149881,0.733818,0.363853,-0.573691,-0.047599,0.496870,0.866519
52.000,0.026803,0.477430,-0.443483,0.758540,-0.497458,0.532904,-0.684506
53.000,0.064137,-0.171488,-0.144940,0.974466,-0.099976,-0.145094,-0.984354
54.000,0.197203,0.374858,-0.835755,-0.401242,-0.247950,-0.409735,0.877860
55.000,0.705822,0.777806,0.619425,0.106447,-0.136846,0.968151,0.209660
56.000,0.886380,-0.162758,-0.788728,-0.592805,-0.586160,-0.658485,-0.472032
57.000,0.508502,0.328699,-0.476524,-0.815403,-0.793529,0.413309,-0.446640
58.000,0.072616,0.840016,0.018717,0.542238,-0.572745,-0.667309,-0.476089
59.000,0.000000,-0.175859,0.085897,-0.980661,0.572101,0.292605,0.766213
60.000,0.842846,0.819848,-0.565274,0.091181,0.499901,-0.850216,0.165019
61.000,0.634484,-0.215726,0.562777,0.797963,0.197890,-0.663637,0.721405
62.000,0.604075,0.655876,-0.483326,-0.579847,0.001795,0.607376,-0.794413
63.000,0.450982,-0.807327,0.538504,0.241323,0.288237,0.421579,0.859762
64.000,1.081897,0.201010,-0.229143,0.952412,0.240940,-0.600029,0.762832
65.000,0.739805,-0.250590,0.441356,0.861632,0.220947,-0.648854,0.728128
66.000,0.887137,0.329504,-0.820919,-0.466389,0.144494,-0.603958,-0.783809
67.000,0.224845,0.133392,0.762429,0.633173,-0.892477,0.227338,-0.389618
68.000,0.725853,0.235698,-0.804754,-0.544809,0.780797,0.116958,-0.613740
69.000,0.391500,0.877793,-0.185299,-0.441750,-0.617407,-0.760625,-0.200643
70.000,0.581527,0.990386,-0.117853,0.072431,0.592870,-0.238027,-0.769316
71.000,0.714582,0.858805,-0.205985,-0.469067,0.770190,0.624243,-0.130872
72.000,0.785978,-0.124717,-0.919555,-0.372645,-0.785272,-0.618729,0.022846
73.000,0.717438,-0.026958,0.908245,0.417571,0.524892,0.005578,0.851150
74.000,0.621350,-0.872458,-0.214986,0.438860,-0.047523,-0.938768,0.341257
75.000,0.231895,-0.482661,-0.807286,-0.339600,-0.280661,0.660887,0.696031
76.000,0.174500,-0.173181,-0.900291,-0.399355,-0.357781,0.915656,-0.183214
77.000,0.411254,0.687992,0.708062,-0.159107,0.870129,-0.342211,0.354636
78.000,0.176711,0.797089,-0.557920,0.231030,-0.313238,0.944823,0.095874
79.000,0.420461,-0.892879,0.420924,0.159970,-0.562229,-0.824012,-0.070024
80.000,0.328731,-0.766290,0.291430,-0.572597,-0.588388,0.100078,0.802362
81.000,0.027807,0.860984,0.507693,0.030904,-0.633463,-0.700052,-0.329623
82.000,0.393625,0.360406,-0.786019,0.502276,-0.389206,-0.738395,-0.550719
83.000,0.431240,0.032359,0.998238,-0.049727,0.304784,-0.420956,-0.854344
84.000,0.520836,-0.829517,0.494516,0.259531,0.314593,0.864182,0.392709
85.000,0.361998,-0.082659,-0.123385,-0.988910,0.005100,-0.841590,0.540092
86.000,0.462343,0.775168,0.613761,-0.149708,0.180206,0.358600,0.915932
87.000,0.819725,0.003614,0.717380,0.696673,-0.768199,0.215551,0.602833
88.000,1.170216,-0.108280,-0.190051,0.975785,-0.359683,-0.245938,0.900079
89.000,0.787948,-0.191852,-0.981377,0.009556,0.482657,-0.870560,0.095744
90.000,0.031680,0.697345,-0.525584,0.487311,-0.865310,0.138867,-0.481617
91.000,0.698650,0.099107,-0.994165,0.042600,-0.624207,-0.638075,-0.450805
92.000,0.712423,0.798545,0.422701,-0.428544,-0.126867,0.924060,-0.360581
93.000,0.183048,0.108268,0.915321,0.387900,-0.132591,-0.472053,-0.871542
94.000,0.652344,-0.833108,0.546505,0.085222,-0.699260,0.408963,-0.586331
95.000,0.526023,-0.794899,-0.463917,0.391046,0.526542,-0.663771,0.531189
96.000,0.304360,-0.111869,0.104549,-0.988208,-0.514332,0.691711,0.506950
97.000,0.717079,-0.758813,0.423258,0.495031,-0.937629,-0.279655,0.206505
98.000,0.752759,0.152344,0.813569,-0.561157,-0.308834,0.131723,-0.941950
99.000,1.049922,-0.612262,0.419947,-0.669911,-0.653391,0.135781,-0.744744
100.000,0.328872,-0.232996,-0.225100,-0.946067,-0.779819,0.612615,0.128784
101.000,0.803225,0.656075,0.750798,-0.076603,0.922299,0.301498,-0.241792
102.000,0.104964,0.223810,0.911032,-0.346308,0.068409,-0.967925,-0.241748
103.000,0.455790,-0.007827,0.548388,-0.836188,0.989503,0.121110,0.078838
104.000,0.076590,0.953914,-0.000552,-0.300079,-0.485387,-0.669351,0.562466
105.000,0.988241,0.759327,-0.248770,-0.601279,0.712897,0.091790,-0.695235
106.000,0.050293,0.660134,0.670341,0.338918,-0.759921,-0.323022,-0.564071
107.000,0.151162,0.482385,0.849292,0.214495,-0.008301,-0.636861,-0.770934
108.000,0.063929,0.155632,-0.334540,0.929442,0.246142,0.198722,-0.948643
109.000,0.523902,0.944812,-0.254183,-0.206691,-0.115565,-0.517232,-0.848007
110.000,0.199715,-0.352531,-0.900533,0.254485,0.672393,0.500903,0.544962
111.000,0.327206,0.182660,0.173822,0.967689,0.193879,-0.932215,-0.305592
112.000,0.836800,-0.869750,0.420152,-0.258858,-0.947581,-0.035506,-0.317538
113.000,0.687797,0.305931,0.238968,0.921575,-0.496236,-0.567059,0.657415
114.000,0.471160,-0.262817,-0.956180,-0.129026,-0.037115,-0.363262,0.930947
115.000,0.649145,-0.970845,-0.237425,-0.033005,-0.815179,0.349271,0.462052
116.000,0.062321,-0.081970,0.706026,0.703426,0.273335,-0.491831,-0.826674
117.000,0.422594,-0.951469,0.214509,0.220663,-0.241964,0.230128,-0.942600
118.000,0.115567,0.457160,-0.621370,-0.636320,0.189376,0.780590,0.595665
119.000,0.183756,-0.270021,-0.852564,-0.447463,0.442899,0.028287,0.896125
120.000,0.474686,0.771115,0.460054,0.440149,-0.854186,0.061408,0.516329
121.000,0.077484,-0.809061,0.046711,0.585866,0.692667,0.458452,-0.556807
122.000,0.709697,-0.329704,-0.860855,-0.387588,-0.870309,-0.489594,-0.053479
123.000,0.971043,-0.024029,-0.940689,-0.338417,-0.259467,-0.850153,-0.458167
124.000,0.934873,-0.005745,0.651429,-0.758688,0.229041,0.607113,-0.760891
125.000,0.176194,0.326363,0.756133,-0.567231,-0.889047,0.088559,0.449170
126.000,0.295042,0.988016,-0.146276,0.049274,-0.123801,0.588520,-0.798948
127.000,0.804725,0.101320,0.213370,-0.971703,-0.871888,-0.189921,-0.451377
128.000,0.327043,0.981349,-0.159890,0.106718,-0.215514,-0.628399,-0.747441
129.000,0.058699,0.689215,-0.709253,0.148128,-0.974588,0.189743,-0.119062
130.000,0.485899,0.176971,0.404512,-0.897247,0.931291,-0.361544,-0.044542
131.000,0.491906,0.863143,0.433542,0.258891,0.672524,0.235505,-0.701605
132.000,0.495642,-0.849054,-0.353814,-0.392329,0.645812,-0.024691,-0.763097
133.000,0.420366,0.211689,-0.808825,-0.548626,-0.985099,-0.140658,-0.098971
134.000,0.077147,-0.649190,0.244279,0.720333,0.919330,-0.057658,-0.389240
135.000,0.093166,-0.027736,-0.444840,0.895180,0.213915,0.787537,-0.577950
136.000,0.714903,-0.388272,-0.615472,-0.685886,0.242743,0.467757,-0.849870
137.000,0.155196,-0.755350,-0.505129,-0.417481,0.105711,0.904158,0.413912
138.000,0.496567,-0.289878,-0.952638,-0.091937,-0.203284,-0.489769,0.847822
139.000,0.510828,-0.263561,-0.422211,0.867337,-0.887855,0.451409,0.089125
140.000,0.000000,-0.345985,-0.461622,0.816823,0.238503,-0.456463,-0.857180
141.000,0.151778,-0.006486,-0.990353,0.138414,-0.158541,0.640643,-0.751293
142.000,0.421020,-0.344546,-0.849538,0.399467,0.935834,-0.352439,0.000944
143.000,0.279228,0.959807,0.245542,-0.135943,-0.380313,0.778523,-0.499264
144.000,0.694736,0.321506,0.207814,0.923822,0.508368,-0.847905,0.150398
145.000,0.059295,-0.416322,-0.783693,-0.460978,0.831376,0.214752,0.512538
146.000,0.013263,-0.936662,0.175625,0.303019,0.666129,-0.387911,-0.637022
147.000,0.905509,-0.575129,0.029927,-0.817515,-0.544342,0.769771,-0.333383
148.000,0.407973,-0.336062,-0.612511,0.715466,-0.443148,0.808444,0.387347
149.000,0.068299,0.386906,-0.916660,0.100193,-0.891490,0.260059,-0.370966
